prompt_index,condition,prompt,target,prediction,correct,target_logit
0,full, red green blue yellow red green blue,yellow, blue,0,13.98601245880127
0,induction_ablation, red green blue yellow red green blue,yellow, yellow,1,14.452596664428711
0,random_ablation_0, red green blue yellow red green blue,yellow, yellow,1,15.013374328613281
0,random_ablation_1, red green blue yellow red green blue,yellow, blue,0,13.91275405883789
0,random_ablation_2, red green blue yellow red green blue,yellow, blue,0,14.2056884765625
0,random_ablation_3, red green blue yellow red green blue,yellow, yellow,1,13.86345386505127
0,random_ablation_4, red green blue yellow red green blue,yellow, blue,0,14.14705753326416
1,full, green red yellow white green red yellow,white, green,0,13.43764877319336
1,induction_ablation, green red yellow white green red yellow,white, white,1,14.662137985229492
1,random_ablation_0, green red yellow white green red yellow,white, yellow,0,13.148675918579102
1,random_ablation_1, green red yellow white green red yellow,white, green,0,13.495767593383789
1,random_ablation_2, green red yellow white green red yellow,white, green,0,13.928537368774414
1,random_ablation_3, green red yellow white green red yellow,white, green,0,12.818700790405273
1,random_ablation_4, green red yellow white green red yellow,white, green,0,13.59687614440918
2,full, yellow black red green yellow black red,green, green,1,14.0773344039917
2,induction_ablation, yellow black red green yellow black red,green, green,1,14.405588150024414
2,random_ablation_0, yellow black red green yellow black red,green, green,1,14.388504028320312
2,random_ablation_1, yellow black red green yellow black red,green, green,1,14.04726505279541
2,random_ablation_2, yellow black red green yellow black red,green, green,1,14.361995697021484
2,random_ablation_3, yellow black red green yellow black red,green, green,1,13.48573112487793
2,random_ablation_4, yellow black red green yellow black red,green, green,1,14.211526870727539
3,full, yellow black green white yellow black green,white, white,1,14.359480857849121
3,induction_ablation, yellow black green white yellow black green,white, white,1,14.055973052978516
3,random_ablation_0, yellow black green white yellow black green,white, white,1,14.629339218139648
3,random_ablation_1, yellow black green white yellow black green,white, white,1,14.335349082946777
3,random_ablation_2, yellow black green white yellow black green,white, white,1,14.797357559204102
3,random_ablation_3, yellow black green white yellow black green,white, white,1,13.808534622192383
3,random_ablation_4, yellow black green white yellow black green,white, white,1,14.46894645690918
4,full, black yellow white red black yellow white,red, red,1,14.254350662231445
4,induction_ablation, black yellow white red black yellow white,red, red,1,14.866690635681152
4,random_ablation_0, black yellow white red black yellow white,red, red,1,14.407400131225586
4,random_ablation_1, black yellow white red black yellow white,red, red,1,14.17228889465332
4,random_ablation_2, black yellow white red black yellow white,red, red,1,14.594442367553711
4,random_ablation_3, black yellow white red black yellow white,red, red,1,13.299345970153809
4,random_ablation_4, black yellow white red black yellow white,red, red,1,14.37312126159668
5,full, red white black blue red white black,blue, blue,1,13.725630760192871
5,induction_ablation, red white black blue red white black,blue, blue,1,14.075759887695312
5,random_ablation_0, red white black blue red white black,blue, black,0,14.371095657348633
5,random_ablation_1, red white black blue red white black,blue, blue,1,13.65025520324707
5,random_ablation_2, red white black blue red white black,blue, blue,1,13.880722045898438
5,random_ablation_3, red white black blue red white black,blue, blue,1,13.45175552368164
5,random_ablation_4, red white black blue red white black,blue, blue,1,13.849234580993652
6,full, blue red white green blue red white,green, red,0,13.745686531066895
6,induction_ablation, blue red white green blue red white,green, green,1,14.153810501098633
6,random_ablation_0, blue red white green blue red white,green, blue,0,13.10801887512207
6,random_ablation_1, blue red white green blue red white,green, green,1,13.762162208557129
6,random_ablation_2, blue red white green blue red white,green, red,0,13.94604206085205
6,random_ablation_3, blue red white green blue red white,green, blue,0,13.284502029418945
6,random_ablation_4, blue red white green blue red white,green, red,0,13.91901969909668
7,full, yellow blue white green yellow blue white,green, green,1,13.776681900024414
7,induction_ablation, yellow blue white green yellow blue white,green, green,1,14.285675048828125
